167,842,287,204,1,9,1,0
187,666,165,205,1,4,0,1
0,295,63,55,1,4,1,1
0,250,109,56,1,4,1,1
3,212,119,51,1,4,1,0
49,181,100,58,1,4,0,1
92,162,118,50,1,4,0,1
116,131,123,53,1,4,0,1
184,98,82,40,1,4,0,1
211,77,82,38,1,4,0,1
220,61,91,37,1,4,0,1
281,19,87,36,1,4,0,1
298,6,86,37,1,4,0,1
334,0,67,27,1,4,1,1
63,138,34,28,1,3,0,0
181,63,18,24,1,3,0,0
270,190,82,69,1,4,0,1
194,350,112,117,1,4,0,0
409,271,84,90,1,4,0,0
361,184,65,78,1,4,0,0
324,94,86,83,1,5,0,1
406,132,51,62,1,4,0,1
385,81,48,46,1,4,0,1
433,85,51,58,1,4,0,1
417,42,43,36,1,4,0,1
465,52,46,47,1,4,0,1
439,12,43,36,1,4,0,1
483,24,45,42,1,4,0,1
517,0,27,29,1,4,1,1
555,0,35,15,1,5,1,1
528,10,12,32,1,1,0,1
424,0,13,24,1,1,0,0
572,33,48,49,1,4,0,0
520,112,57,61,1,4,0,0
579,168,56,80,1,4,0,0
500,252,95,164,1,6,0,0
675,137,49,82,1,4,0,0
754,63,40,50,1,4,0,1
828,0,37,33,1,5,1,0
878,4,64,41,1,4,0,1
848,38,34,38,1,4,0,1
902,31,31,37,1,4,0,1
852,72,44,43,1,4,0,1
910,65,39,41,1,4,0,1
862,113,42,48,1,4,0,0
915,110,49,59,1,4,0,0
871,227,70,73,1,4,0,1
865,172,54,57,1,4,0,1
923,284,20,40,1,1,0,0
871,319,46,64,1,7,0,0
905,340,17,21,1,1,0,0
777,327,91,99,1,4,0,0
953,0,13,28,1,1,1,0
978,16,11,31,1,1,0,0
985,24,10,30,1,3,0,1
996,74,12,35,1,1,0,1
1075,55,17,29,1,10,0,1
1042,70,37,41,1,4,0,1
1047,107,49,55,1,4,0,1
1052,162,63,60,1,4,0,1
1059,253,14,46,1,1,0,1
1076,245,16,56,1,1,0,1
1107,252,121,77,1,4,0,1
1198,283,117,84,1,4,0,1
1182,368,31,60,1,1,0,0
1211,408,61,43,1,7,0,1
1101,491,34,64,1,1,0,0
1148,470,21,59,1,1,0,0
1035,472,28,58,1,1,0,0
1057,487,21,43,1,1,0,0
1122,461,27,50,1,1,0,1
1360,598,40,63,1,1,1,0
