17,948,27,25,1,1,0,0
103,920,20,28,1,2,0,1
0,1041,101,51,1,4,1,0
102,1053,113,53,1,4,0,0
135,943,94,43,1,4,0,0
236,950,90,44,1,4,0,0
354,960,95,45,1,4,0,0
459,968,94,45,1,4,0,0
402,1089,108,52,1,4,0,0
859,731,154,65,0,0,0,0
587,1145,25,31,1,2,0,0
628,996,17,31,1,2,0,0
631,1107,116,58,1,4,0,1
876,1129,109,60,1,4,0,0
767,1112,96,62,1,5,0,0
666,956,66,69,1,5,0,0
649,811,75,37,1,4,0,0
665,779,79,37,1,4,0,1
836,802,80,37,1,4,0,1
729,887,54,53,1,4,0,0
807,765,47,43,1,4,0,1
771,674,17,19,1,10,0,0
792,650,58,31,1,4,0,0
928,663,30,32,1,7,0,1
886,628,54,57,1,7,0,1
512,401,244,266,0,0,0,0
818,627,61,26,1,4,0,0
832,613,58,25,1,4,0,1
846,603,56,24,1,4,0,1
862,594,56,23,1,4,0,1
881,583,54,24,1,4,0,1
951,538,43,22,1,4,0,0
983,514,55,20,1,4,0,2
909,449,9,18,1,1,0,2
911,364,16,15,1,4,0,2
380,1202,48,26,1,3,0,2
360,1234,47,21,1,3,0,2
321,1286,46,21,1,3,0,2
305,1315,46,17,1,3,0,2
238,1410,47,25,1,3,0,2
299,1332,59,29,1,10,0,2
197,1450,62,37,1,10,0,2
796,988,101,51,1,4,0,0
930,1003,100,52,1,4,0,0
1057,1014,104,51,1,4,0,0
1317,1035,110,53,1,4,0,0
1430,1001,78,63,1,4,0,0
1204,1023,67,59,1,8,0,0
1204,1161,102,75,1,5,0,1
1329,1181,34,36,1,10,0,1
1062,1391,28,46,1,2,0,1
1078,1384,28,45,1,2,0,1
1225,1356,34,71,1,10,0,2
1250,1414,62,48,1,10,0,1
1235,1448,48,32,1,10,0,1
1277,1481,54,19,1,3,1,0
1405,1278,25,42,1,2,0,1
1401,1289,27,48,1,3,0,1
1436,1286,23,38,1,2,0,1
1455,1278,21,36,1,2,0,2
1450,1271,34,78,1,7,0,2
1459,1190,131,63,1,4,0,1
1605,1208,142,64,1,4,0,0
1787,1229,138,57,1,4,0,2
1730,1123,25,31,1,2,0,1
1849,1127,23,35,1,2,0,2
1712,1128,48,27,1,10,0,1
1828,1140,52,21,1,10,0,2
1744,1081,108,56,1,4,0,0
1568,867,123,59,1,6,0,1
1557,850,91,35,1,4,0,1
1535,710,73,32,1,4,0,0
1526,697,82,26,1,4,0,1
1529,684,65,20,1,4,0,1
1359,720,46,26,1,7,0,2
1366,686,92,53,1,7,0,1
1371,664,68,29,1,4,0,2
1374,649,69,30,1,4,0,2
1445,634,13,23,1,1,0,0
1487,636,14,23,1,1,0,0
1486,608,46,29,1,4,0,0
1592,612,72,36,1,5,0,1
1623,611,58,29,1,4,0,2
1635,602,63,28,1,4,0,2
1657,526,9,18,1,1,0,1
1655,528,6,15,1,1,0,1
1651,529,7,15,1,1,0,1
1523,514,42,27,1,4,0,1
1594,514,47,22,1,4,0,0
1561,502,50,18,1,4,0,1
1551,493,43,18,1,4,0,1
1533,486,45,19,1,4,0,1
1964,707,36,34,1,5,1,0
1881,689,13,16,1,2,0,1
1876,681,8,13,1,2,0,1
1929,638,71,28,1,4,1,0
1925,534,58,22,1,4,0,1
1924,525,62,23,1,4,0,2
1902,498,25,21,1,4,0,0
1904,480,23,22,1,5,0,2
1902,467,25,17,1,5,0,2
1888,458,29,18,1,4,0,1
1814,419,8,12,1,1,0,0
1826,417,6,14,1,1,0,0
13,649,56,27,1,4,0,1
0,659,41,28,1,4,1,1
